,dt,from_time,to_time,jaggedness,area,score
337,2023/02/01,00:00:00,23:59:59,0.0,0.0,0.0
336,2023/01/31,00:00:00,23:59:59,0.0,0.0,0.0
335,2023/01/30,00:00:00,23:59:59,0.0,0.0,0.0
334,2023/01/29,00:00:00,23:59:59,0.0,0.0,0.0
333,2023/01/28,00:00:00,23:59:59,0.0,0.0,0.0
332,2023/01/27,00:00:00,23:59:59,0.0,0.0,0.0
331,2023/01/26,00:00:00,23:59:59,0.0,0.0,0.0
330,2023/01/25,00:00:00,23:59:59,0.0,0.0,0.0
308,2023/01/03,00:00:00,23:59:59,0.0,0.0,0.0
305,2022/12/31,00:00:00,23:59:59,0.0,0.0,0.0
268,2022/11/24,00:00:00,23:59:59,0.0,0.0,0.0
277,2022/12/03,00:00:00,23:59:59,0.0,0.0,0.0
284,2022/12/10,00:00:00,23:59:59,0.0,0.0,0.0
283,2022/12/09,00:00:00,23:59:59,0.0,0.0,0.0
282,2022/12/08,00:00:00,23:59:59,0.0,0.0,0.0
281,2022/12/07,00:00:00,23:59:59,0.0,0.0,0.0
280,2022/12/06,00:00:00,23:59:59,0.0,0.0,0.0
279,2022/12/05,00:00:00,23:59:59,0.0,0.0,0.0
278,2022/12/04,00:00:00,23:59:59,0.0,0.0,0.0
276,2022/12/02,00:00:00,23:59:59,0.0,0.0,0.0
304,2022/12/30,00:00:00,23:59:59,0.0,0.0,0.0
275,2022/12/01,00:00:00,23:59:59,0.0,0.0,0.0
274,2022/11/30,00:00:00,23:59:59,0.0,0.0,0.0
273,2022/11/29,00:00:00,23:59:59,0.0,0.0,0.0
272,2022/11/28,00:00:00,23:59:59,0.0,0.0,0.0
271,2022/11/27,00:00:00,23:59:59,0.0,0.0,0.0
270,2022/11/26,00:00:00,23:59:59,0.0,0.0,0.0
269,2022/11/25,00:00:00,23:59:59,0.0,0.0,0.0
285,2022/12/11,00:00:00,23:59:59,0.0,0.0,0.0
286,2022/12/12,00:00:00,23:59:59,0.0,0.0,0.0
287,2022/12/13,00:00:00,23:59:59,0.0,0.0,0.0
288,2022/12/14,00:00:00,23:59:59,0.0,0.0,0.0
303,2022/12/29,00:00:00,23:59:59,0.0,0.0,0.0
302,2022/12/28,00:00:00,23:59:59,0.0,0.0,0.0
301,2022/12/27,00:00:00,23:59:59,0.0,0.0,0.0
300,2022/12/26,00:00:00,23:59:59,0.0,0.0,0.0
